INFO 2025-11-13 12:43:34,496 basehttp "OPTIONS /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0/documents HTTP/1.1" 200 0
INFO 2025-11-13 12:43:34,550 basehttp "GET /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0 HTTP/1.1" 200 1203
INFO 2025-11-13 12:43:34,555 basehttp "GET /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0/documents HTTP/1.1" 200 2
INFO 2025-11-13 12:43:34,600 basehttp "GET /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0/documents HTTP/1.1" 200 2
INFO 2025-11-13 12:43:34,693 basehttp "GET /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0 HTTP/1.1" 200 1203
INFO 2025-11-13 12:43:39,043 basehttp "OPTIONS /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0/approvals HTTP/1.1" 200 0
INFO 2025-11-13 12:43:39,088 basehttp "PATCH /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0/approvals HTTP/1.1" 200 1204
INFO 2025-11-13 12:43:39,244 basehttp "GET /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0 HTTP/1.1" 200 1204
INFO 2025-11-13 12:43:41,703 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:43:41,751 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:43:45,747 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1205
INFO 2025-11-13 12:43:45,748 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 546
INFO 2025-11-13 12:43:45,792 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1205
INFO 2025-11-13 12:43:45,798 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 546
INFO 2025-11-13 12:43:54,065 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1205
INFO 2025-11-13 12:43:54,065 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 546
INFO 2025-11-13 12:43:56,011 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:43:56,052 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:44:03,746 basehttp "POST /api/v1/orders HTTP/1.1" 201 1084
INFO 2025-11-13 12:44:03,797 basehttp "GET /api/v1/orders HTTP/1.1" 200 2851
INFO 2025-11-13 12:44:36,508 basehttp "OPTIONS /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/documents HTTP/1.1" 200 0
INFO 2025-11-13 12:44:36,508 basehttp "OPTIONS /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 0
INFO 2025-11-13 12:44:36,510 basehttp "OPTIONS /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 0
INFO 2025-11-13 12:44:36,510 basehttp "OPTIONS /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/documents HTTP/1.1" 200 0
INFO 2025-11-13 12:44:36,567 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 1084
INFO 2025-11-13 12:44:36,573 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/documents HTTP/1.1" 200 2
INFO 2025-11-13 12:44:36,618 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 1084
INFO 2025-11-13 12:44:36,627 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/documents HTTP/1.1" 200 2
INFO 2025-11-13 12:45:03,166 basehttp "OPTIONS /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/approvals HTTP/1.1" 200 0
INFO 2025-11-13 12:45:03,217 basehttp "PATCH /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/approvals HTTP/1.1" 200 1103
INFO 2025-11-13 12:45:03,250 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 1103
INFO 2025-11-13 12:45:04,708 basehttp "PATCH /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/approvals HTTP/1.1" 200 1126
INFO 2025-11-13 12:45:04,746 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 1126
INFO 2025-11-13 12:45:06,313 basehttp "PATCH /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/approvals HTTP/1.1" 200 1126
INFO 2025-11-13 12:45:06,350 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 1126
INFO 2025-11-13 12:45:08,018 basehttp "PATCH /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/approvals HTTP/1.1" 200 1151
INFO 2025-11-13 12:45:08,057 basehttp "GET /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953 HTTP/1.1" 200 1151
INFO 2025-11-13 12:45:10,015 basehttp "PATCH /api/v1/orders/1861f72f-d12b-4174-ab36-6dd873d31953/approvals HTTP/1.1" 200 1175
